link,title,location,description,company_name
https://wuzzuf.net/jobs/p/nyW6cF5Ydjnt-Big-Data-Engineer-Worex-Cairo-Egypt?o=34&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Big Data Engineer,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data · Big Data · Information Technology (IT) · Computer Engineering · Hadoop · ETL · NoSQL,Worex -
https://wuzzuf.net/jobs/p/szkVNPPVlKHy-Senior-Big-Data-Engineer-BBI-Consultancy-Cairo-Egypt?o=35&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Big Data Engineer,"Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Big Data · Computer Science · Data · Software Development,BBI-Consultancy -
https://wuzzuf.net/jobs/p/MSfNAjuV95Yw-Senior-Data-Modeler-BBI-Consultancy-Cairo-Egypt?o=36&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Data Modeler,"Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · analytical · Computer Science · Data · Data Mining · Database · Information Technology (IT) · SQL · Data Modeling · Data Modeler,BBI-Consultancy -
https://wuzzuf.net/jobs/p/SaJSNxVSZod6-Senior-React-JS-Developer-ByndCo-Cairo-Egypt?o=37&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior React JS Developer,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · English · Communication · Computer Science · Information Technology (IT) · System Administration · Technical Support · Data Entry,ByndCo -
https://wuzzuf.net/jobs/p/YI5pC9RYrl9S-Senior-Data-Analyst-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt?o=38&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Data Analyst,"Smart Village, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Business Development · Analyst/Research · Analysis · analytical · Analyst · Business Intelligence · business · Data · Data Analysis · Information Technology (IT),Fawry for Banking Technology and Electronic Payments S.A.E -
https://wuzzuf.net/jobs/p/yGJTY5poSrkP-Data-Engineer-Ejada-Cairo-Egypt?o=39&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Engineer,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Engineering · Data,Ejada  -
https://wuzzuf.net/jobs/p/LQWlkPdEnEBx-BI-DWH-Sr-Specialist-Masary-Cairo-Egypt?o=40&l=sp&t=sj&a=data science|search-v3|hpb|spbg,BI & DWH Sr. Specialist,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Computer Science · BI · Data Warehouse · Oracle · SQL · ETL · SQL Server,Masary -
https://wuzzuf.net/jobs/p/zjIBVeGAmcGh-Oracle-Database-Administrator-DBA-Ultimate-Solutions-Egypt-Giza-Egypt?o=41&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Oracle Database Administrator (DBA),"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · DBA · Oracle · SQL · PLSQL · Data Modeling · Relational Concepts · Data Warehouse,Ultimate Solutions Egypt -
https://wuzzuf.net/jobs/p/VZzlvypScaAi-Mobile-Application-Developer-MegaSoft-Cairo-Egypt?o=42&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Mobile Application Developer,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · java · English · Software · Design,MegaSoft -
https://wuzzuf.net/jobs/p/Nw7USXcXy2Y7-Data-Engineer-Wadi-Degla-Clubs-Company-Cairo-Egypt?o=43&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Engineer,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Information Technology (IT) · Data · Data Engineering · computer,Wadi Degla Clubs Company -
https://wuzzuf.net/jobs/p/PmQv2opPhA7S-Data-Scientist-SeniorLead-Cairo-Egypt?o=44&l=sp&t=sj&a=data science|search-v3|hpb|spbg,"Data Scientist ""Senior/Lead""","New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 10 Yrs of Exp · R&D/Science · IT/Software Development · Algorithms · Computer Science · Data Science · Information Technology (IT) · Python · Spark · Statistics · Machine Learning,Confidential -
https://wuzzuf.net/jobs/p/QrnwaxvDC8rC-Senior-SIT-and-Testing-engineer-Masria-Digital-Payment-MDP-Cairo-Egypt?o=45&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior SIT and Testing engineer,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Banking · IT/Software Development · Computer Science · Debugging · Information Technology (IT) · Data · ISO · Linux · Oracle · Oracle SQL,Masria Digital Payment (MDP) -
https://wuzzuf.net/jobs/p/LIsuAHTduSCf-Senior-Payment-systems-Implementation-Engineer-Masria-Digital-Payment-MDP-Cairo-Egypt?o=46&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Payment systems Implementation Engineer,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Banking · Installation/Maintenance/Repair · Engineering - Telecom/Technology · Computer Science · ATM · Data · Debugging · Engineering · HSM · Information Technology (IT),Masria Digital Payment (MDP) -
